LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
Roper Gulf (R),51.1,48.9,26,29,17.5,17.2,12.1,11.5,7.8,3.8,0.9,0.1,47,5.1,2.4,90.9,31.5,4.5,27.8,51.2,19.1,21.6,7.8,8.8,279,670,2.4,37.6,25,47.9
Coomalie (S),52.7,47.3,46,18.2,9.1,10.5,8.7,17.5,18.5,13.3,3.4,0.7,34.7,9.3,5.4,66.9,35.4,14.9,73.6,60.2,23,13.6,13.6,13.1,610,1327,0.7,59.7,46,26.1
Unincorporated NT,54.7,45.3,34,21.4,10.4,18.7,16.7,15.6,11.5,5,0.7,0.1,42.3,18.5,8.1,63.6,35.1,17.6,71.5,74.3,15.4,18.5,12.3,15.1,1086,2447,5.5,58.2,41.2,47.3
Wagait (S),51.2,48.8,48,13.5,7.2,7.6,12.9,19.4,22,14.6,2.2,0.7,44.3,22.4,8.8,80.3,42.8,14.6,91.2,62.2,22.4,24.5,13.3,15,861,1924,55,66.2,57.5,32.8
Victoria Daly (R),51.4,48.6,27,27.1,18.3,16.5,10.3,12.4,8.7,4.4,1.9,0.4,42.6,5.6,4.8,82.5,18.3,16.9,34.4,57.4,19.3,18,5.9,10,376,775,1.8,35.1,30.6,43.5
West Daly (R),49.1,50.9,24,32.7,18.2,20.4,12.3,8.7,5.6,1.5,0.5,0,30.8,4.6,1,94.9,9.9,72.1,8.8,40.1,12.6,28.7,8.4,6.2,239,590,8.8,36.1,15.2,55.7
Darwin (C),51.3,48.7,34,18.5,12,20.6,15.6,13.5,10.8,6.2,2.2,0.6,43.9,26.1,8.5,57,31.2,22.3,62.4,68.5,21,23.5,13.8,14.9,1039,2385,6.9,72,40,44.4
West Arnhem (R),51,49,28,26.3,16.9,18,15.9,13,6.9,2,0.7,0.1,53.6,6.3,3.3,88.7,22.5,NA,18.9,54.5,15,25.8,9.9,11.3,276,771,2.5,48.9,26.3,50.4
Palmerston (C),50.4,49.6,30,25.8,13.9,20,16.3,12,7.5,3.1,1.2,0.3,43.9,14,9.1,70.6,35.4,22.8,76.4,71.1,17.8,13.8,16.7,18.5,1053,2369,7.8,79.2,31.8,50.6
Litchfield (M),59.4,40.6,37,17.7,12.7,15.6,16.4,17.5,12.3,6.1,1.4,0.3,43.7,9.4,6.9,70.8,34.1,17.7,74.8,69.8,18.8,11.9,14.1,24.3,1092,2410,10.6,69.9,39.5,47.5
